year, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 澎湖縣, 基隆市, 新竹市, 嘉義市, 金門縣, 連江縣
1998,43.75,21.65,50.2,40.91,41.16,37.67,37.87,56.34,46.37,44.11,30.49,32.17,31.37,29.31,30.48,29.16,19.62,31.06,43.94,25.71,...,...
1999,40.89,21.32,49.83,41.04,42.28,36.73,35.75,55.08,45.24,43.96,30.67,31.68,32.41,28.59,26.21,27.78,19.95,30.53,42.04,26.25,...,...
2000,41.07,20.86,50.63,41.05,41.77,35.63,36.23,53.08,47.56,44.77,30.81,33.82,31.37,28.83,26.06,26.43,19.27,28.33,44.28,26.48,...,18.7
2001,39.65,20.29,49.23,39.16,39.24,34.73,36.5,51.66,45.92,42.78,31.82,31.05,31.82,27.07,24.73,26.67,18.7,27.92,43.43,25.55,...,18.12
2002,38.21,19.81,48.28,39.4,38.27,34.13,35.15,50.92,47.04,42.27,32.08,30.23,30.29,24.95,21.62,26.29,14.55,26.66,43.61,24.94,22.11,17.12
2003,37.82,19.48,48.35,38.32,39.69,33.93,33.12,50.14,45.19,42.31,27.04,28.03,30.3,25.74,22.58,24.23,15.97,26.35,41.29,23.88,22.37,16.54
2004,37.74,19.3,47.35,39.06,39.7,34.66,34.32,48.78,45.37,44.98,26.24,30.27,30.08,26.93,22.04,23.82,18.37,28.84,40.32,23.14,23.02,16.99
2005,37.79,19.32,46.21,39.99,40.65,35.71,34.12,51.86,46.66,44.84,30.12,30.18,31.3,26.29,24.77,24.48,18.94,28.08,42.46,25.45,22.99,16.56
2006,37.56,19.45,46.29,39.69,39.99,36.53,32.64,52.51,45.87,45.17,30.48,32.13,32.3,28.64,25.32,23.8,18.94,28.62,43.13,26.67,23.69,16.95
2007,37.78,19.11,48.79,39.94,42.54,37.21,33.46,49.55,45.6,46.72,31.34,33.55,34.34,30.41,23.13,25.54,20.24,29.57,42.91,25.93,24.48,18.07
2008,37.76,18.79,47.32,41.47,43,36.46,32.81,50.76,47.24,47.39,28.62,33.15,34.69,31.44,22.21,24.97,21.95,30.01,42.14,26.9,22.99,17.93
2009,37.04,19.28,46.36,40.06,41.44,34.99,31.31,52.78,46.71,46.33,25.96,32.78,31.73,30.29,19.61,24.08,19.77,28.57,40.3,26.39,23.98,17.55
2010,36.29,19.26,46.65,39.13,42.21,36,31.04,51.35,47.19,46.21,28.45,32.52,29.94,29.34,20.7,25.1,17.64,29,43.68,27.45,25.98,18.65
2011,35.96,19.16,47.62,40.82,43.17,36.57,32.05,49.86,47.79,46.04,30.13,32.31,30.39,29.1,20.38,24.36,16.44,30.25,44.59,26.96,26.14,19.79
2012,35.45,18.81,46.73,40.57,43.09,36.76,31.21,51.24,46.15,46.4,30.22,32.14,33.33,30.75,21.21,23.65,18.16,30.62,43.01,26.71,25.69,19.54
2013,35.41,19.3,46.95,40.1,41.94,36.22,29.95,52.68,44.62,48.04,28.72,34.75,33.68,30.92,19.89,24.56,20.19,28.93,41.94,25.54,26.69,19.74
2014,35.49,18.82,46.92,40.44,42.24,36.4,31.26,50.87,45.45,48.72,27.71,35.38,32.78,31.08,19.41,24.41,18.58,27.63,40.3,23.76,26.26,19.44
2015,35.52,18.91,45.75,39.43,42.36,35.91,30.98,51.38,48.59,47.64,26.75,34.94,33.24,32.27,19.56,25.25,21.37,28.75,41.06,26.23,25.65,18.22
2016,35.49,19.04,45.74,38.76,42.08,35.75,31.03,52.1,48.46,46.58,28.36,33.53,31.33,31.95,21.09,23.83,21.6,29.69,42.4,27.84,24.71,18.17
2017,35.28,18.85,45.37,38.91,41.68,36.21,31.81,51.5,47.96,46.6,29.31,31.62,32.36,32.07,20.57,22.49,23.33,29.57,42.94,25.34,25.22,19.78
2018,34.89,18.81,45.23,39.48,41.17,35.8,31.52,51.18,48.43,47.71,29.14,32.3,31.81,31.27,19.16,22.37,23.3,27.77,44.78,26.46,23.12,20
2019,34.01,18.25,44.23,40.77,41.58,36.47,30.81,49.41,46.43,47.22,27.04,34.46,32.61,31.32,18.34,23.74,21.35,27.43,43.97,26.77,24.08,19.37
2020,32.2,18.63,43.22,40.63,43.1,36.98,32.51,47.41,46.22,47,26.97,34.91,32.58,32.1,18.24,23.74,21.46,28.28,41.88,26.33,26.9,20.7