year,基隆市,臺北市,新北市,桃園市,新竹市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣,連江縣,金門縣
2006,0.52,0.72,0.57,0.5,0.54,0.42,0.4,0.58,0.45,0.52,0.41,0.5,0.39,0.44,0.5,0.39,0.47,0.48,0.37,NA,NA,NA
2007,0.7,0.72,0.57,0.49,0.51,0.39,0.41,0.57,0.44,0.52,0.41,0.52,0.4,0.45,0.54,0.39,0.45,0.49,0.37,NA,NA,NA
2008,0.43,0.66,0.52,0.46,0.48,0.37,0.39,0.51,0.39,0.46,0.39,0.48,0.35,0.42,0.49,0.35,0.39,0.46,0.36,NA,NA,NA
2009,0.41,0.62,0.49,0.44,0.46,0.35,0.38,0.5,0.36,0.46,0.37,0.46,0.35,0.39,0.46,0.36,0.37,0.43,0.35,NA,NA,NA
2010,0.43,0.67,0.53,0.46,0.48,0.36,0.36,0.52,0.37,0.45,0.37,0.46,0.34,0.4,0.46,0.35,0.38,0.43,0.36,NA,NA,NA
2011,0.38,0.58,0.46,0.42,0.42,0.32,0.35,0.47,0.36,0.44,0.35,0.45,0.33,0.39,0.46,0.35,0.34,0.41,0.35,NA,NA,NA
2012,0.38,0.59,0.45,0.43,0.45,0.34,0.37,0.47,0.38,0.44,0.38,0.46,0.35,0.4,0.46,0.34,0.34,0.42,0.36,0.25,0.3,0.43
2013,0.38,0.57,0.46,0.42,0.42,0.33,0.35,0.44,0.39,0.42,0.37,0.46,0.35,0.39,0.44,0.33,0.32,0.4,0.35,0.26,0.31,0.36
2014,0.4,0.57,0.46,0.41,0.43,0.33,0.34,0.43,0.38,0.41,0.36,0.45,0.34,0.39,0.43,0.32,0.31,0.37,0.34,0.24,0.3,0.35
2015,0.36,0.54,0.45,0.4,0.43,0.33,0.34,0.43,0.37,0.41,0.36,0.43,0.34,0.38,0.41,0.31,0.31,0.31,0.34,0.24,0.28,0.32
2016,0.35,0.52,0.44,0.39,0.41,0.31,0.33,0.42,0.36,0.39,0.34,0.42,0.33,0.37,0.41,0.3,0.29,0.29,0.32,0.23,0.27,0.3
2017,0.31,0.5,0.39,0.36,0.37,0.28,0.3,0.37,0.33,0.37,0.31,0.4,0.3,0.34,0.38,0.29,0.27,0.26,0.3,0.21,0.25,0.27
2018,0.3,0.44,0.38,0.36,0.37,0.29,0.3,0.38,0.35,0.35,0.31,0.38,0.3,0.33,0.37,0.28,0.27,0.25,0.29,0.21,0.24,0.27
2019,0.32,0.43,0.37,0.36,0.35,0.28,0.3,0.37,0.35,0.36,0.32,0.39,0.31,0.35,0.37,0.28,0.27,0.26,0.3,0.23,0.25,0.29
2020,0.29,0.41,0.36,0.34,0.32,0.26,0.27,0.34,0.32,0.34,0.3,0.35,0.29,0.32,0.34,0.26,0.25,0.24,0.28,0.21,0.23,0.26