year,總計,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
1998,-,21.3,20.86,17.55,-,-,-,20.6,21.93,22.25,17.7,20.2,19.95,23.1,22.3,26.75,22.9,18.1,-,25.6,22.9,19.5,-,-
1999,-,23.33,23.28,20.46,-,-,-,22.75,24.88,26.3,18.2,21.35,19.55,25.37,26.2,29.95,22.9,18.4,-,28,24.2,19.7,-,-
2000,-,23.76,25.08,19.96,-,-,-,22.1,25.23,26.4,22.65,21.9,20.25,23.2,27.35,28,24.4,18.8,-,27,22.5,20.2,-,-
2001,-,25.12,26.07,20.4,-,-,-,22.75,26.75,25.65,25.35,22.9,23.5,24.9,28.6,31.83,25.4,18.8,-,26.6,22.3,21.6,-,-
2002,-,27.01,27.41,23.08,24.44,30.4,30.49,22.9,27.03,27,29.25,24.7,22.75,26.95,29.45,31.17,26.6,18.7,-,28.3,23.4,25.2,-,-
2003,-,27.51,28.04,24.6,25.92,29.55,29.6,25.7,25.53,28.45,29.45,26.2,25.8,28.3,30.2,30.6,25.7,19,-,29.8,21.9,27.3,-,-
2004,-,28.66,29.36,25.3,26.94,31.5,30.1,27.4,26.58,29.35,31.25,27.25,28.7,29,30.25,32.03,26.5,21.9,-,29.8,26.2,28,-,-
2005,-,26.62,25.83,22.4,26.34,27.35,27.81,24.45,25.43,28.85,29.55,26.2,27.6,28.45,30.55,31.8,28,18.5,-,26.1,23.9,24.2,-,-
2006,-,28.62,28.81,25.06,27.02,30.45,29.73,25.5,27.48,30.5,28.4,27.55,28.95,29.95,31.25,33.17,31.6,21.9,-,30,27,28.2,-,-
2007,-,29.37,29.26,24.84,28.22,30.58,31.89,24.4,28.55,30.35,30,28.2,28.45,31.2,32.4,34.27,32.9,22.4,-,31.4,25.4,28.7,-,-
2008,-,29.09,29,24.64,27.26,31.2,30.16,27.9,28.85,29.5,30.45,28.7,28,30.35,31.4,35.2,30.1,22,-,30.8,28.7,27.3,-,-
2009,-,30.71,29.83,25.54,31,33.75,32.23,29.45,29.83,31.15,31.7,29.45,30.5,32.15,34.25,36.37,29.3,22.8,-,29.6,29.4,29.9,-,-
2010,-,27.78,27.67,23.18,27,28,29,26.65,28.08,29.75,29.7,25.95,25.75,28.65,30.15,33.9,28.6,24.5,-,27,25.9,26.2,-,-
2011,-,29.07,29.22,24.74,28.58,30.75,29.83,27.65,28.78,31.5,29.95,28.3,26.95,29.9,31.5,33.03,28.1,24.9,-,31.5,28.9,26.7,-,-
2012,-,29.31,29.19,24.88,28.88,30.23,28.55,26.15,28.85,31.5,30.45,28.65,25.95,30.05,30.4,32.67,28,23.9,41.4,31.3,27.9,27.5,-,-
2013,-,29.96,29.53,25,29.3,30.8,29.56,27.1,30.5,31.7,29.85,29.25,27.4,29.75,30.75,33.5,28.2,24.2,41.7,30.5,30.5,27.8,-,-
2014,-,30.27,29.47,26,29.15,30.23,30.51,29.08,30.75,32.14,30.42,29.06,27.55,28.73,30.53,35.67,28.97,25.82,40.6,30.78,29.33,27.55,-,-
2015,29.64,29.27,29.19,26.63,29.4,28.2,29.63,29.23,29.94,31.65,29.84,28.36,26.93,27.12,29.07,33.71,28.25,27.55,38.96,31.69,29.28,28.07,37.52,43.05
2016,28,27.64,27.46,24.77,27.63,27.64,27.38,27,27.13,29.68,28.77,27.49,24.73,28.16,29.34,32.1,23.99,26.49,36.53,29.5,28.05,26.28,34.87,41.95
2017,30.67,30.3,30.95,27.13,31.89,29.99,29.71,30.02,30.4,31.64,31.01,29.14,26.2,31.04,32.51,33.79,24.26,28.03,38.02,32.41,30.45,28.1,37.83,45.08
2018,31.03,30.67,30.81,27.75,31.78,30.65,29.56,31.19,30.87,31.7,31.66,29.51,25.98,31.72,32.13,34.12,24.52,27.78,42.58,32.59,28.86,28.87,38.88,43.93
2019,31.4,31.01,32,29.06,32.28,29.75,31.49,30.74,30.47,33.32,28.81,28.72,25.93,31.7,30.82,35.65,26.08,29.49,39.84,32.85,32.02,28.63,39.82,45.39
2020,30.93,30.65,31.08,28.98,31.13,29.46,30.97,30.88,28.88,33.61,27.16,27.27,28.62,31.31,30.82,34.51,29.32,28.12,41.26,32.55,32.43,27.55,37.34,41.08
2021,29.69,29.38,29.51,27.53,30.51,28.12,29.84,29.47,27.25,31.67,27.83,27.93,27.39,29.8,29.17,32.54,28.65,27.03,40.82,28.87,30.87,26.93,37.09,40.73