year, 新北市, 臺北市, 桃園市, 臺中市, 臺南市, 高雄市, 宜蘭縣, 新竹縣, 苗栗縣, 彰化縣, 南投縣, 雲林縣, 嘉義縣, 屏東縣, 臺東縣, 花蓮縣, 基隆市, 新竹市, 嘉義市
1998,2703.02,9712.81,3826.2,3867.81,2937.53,5805.11,2905.99,4936.26,4193.84,5223.65,2218.07,2632.91,1316.75,2716.68,1504.65,2816.6,5312.79,6044.78,4901.13
1999,2765.85,9717.86,3866.46,3935.44,2931.39,5820.88,3026.3,4772.56,4176.72,5254.93,2218.07,2724.86,1346.5,2717.12,1500.63,2830.02,5388.69,6209.79,4907.65
2000,2756.98,9736.85,3949.58,4220.88,3047.89,5988.37,3858.28,4602.71,4257.71,5065.59,2175.59,2728.13,1372.9,2718.4,1500.91,2879.34,5399.05,6146.07,4927.54
2001,2802.11,9690.23,4024.35,4258.09,2996.17,5934.1,3722.46,5292.33,4307.51,5337.48,2175.59,3030.66,1372.9,2719.84,1500.91,2037.09,5433.25,6349.27,4961.83
2002,2787.78,9719.86,4027.18,4248.09,2897.53,5943.93,3778.52,5292.33,4054.69,5526.56,2175.59,3030.56,1458.81,2719.84,1485.19,2178.33,5477.3,6456.23,5092.65
2003,2832.54,9665.71,4024.97,4144.87,2866.03,5910.93,3811.78,5077.75,4569,5528.73,2224.89,3030.51,1371.48,2742.06,1490.94,2178.33,5488.38,6596.2,5124.72
2004,2860.19,9648.55,4043.54,4247.69,2833.02,5927.32,3842.5,5266.52,4534.98,5587.28,2187.79,2909.43,1318.19,2775.08,1474.01,2079.54,5290.6,7258.66,4953.4
2005,2931.4,9622.04,4117.68,4283.32,2857.19,6085.9,3790.78,5139.7,4583.35,5690.24,2243.06,2856.23,1325.53,2762.27,1470.82,2047.31,5241.39,7006.12,4978.32
2006,2959.18,9684.49,4180.26,4259.85,2915.68,5707.2,3878.59,5260.52,4618.84,5458.85,2269.27,2838.28,1394,3148.54,1487.06,2103.99,5226.16,7064.18,4990.46
2007,2988.48,9673.55,4233.22,4600.52,2935.44,5891.93,3847.16,5035.86,4977.78,5453.34,2270.89,2837.63,1373.76,3029.67,1490.29,2106.81,5223.86,7294.94,5002.54
2008,2950.28,9650.21,4337.56,4601.45,3052.05,6001.73,3903.78,5109.98,5005.24,4768.6,2259.82,2960.11,1356.03,2830.8,1465.86,2105.59,5204.89,7421.66,5016.65
2009,2891.57,9593.2,4491.56,4832.98,3055.95,6013.35,3698.83,5222.15,4111.64,5619.33,2245.46,2963.37,1361.26,2805.83,1768.71,2105.23,5196.08,7478.03,5017.89
2010,2909.72,9634.93,4518.67,4629.64,2999.07,6039.41,3682.61,5270.83,4012.92,4906.88,2235.4,2941.02,1332.74,2777.58,1730.6,2104.76,5140.06,7550.42,4990.94
2011,3041.49,9753.39,4576.22,4685.48,3029.51,6041.04,3920.36,5356.63,3932.34,4860.12,2221.88,2972.92,1336.17,2949.4,1730.6,2034.03,5083.76,7661.92,4975.11
2012,2949.8,9835.28,4674.83,4721.18,3031.58,5906.13,4001.33,5471.91,4697.3,5472.87,2244.5,2947.82,1335.92,2934.64,1526.06,1993.08,5046.64,7674.32,4969.5
2013,3004.84,9884.18,4700.66,4597.55,3048.67,5926.34,3933.42,5438.07,4712.43,5463.7,2239.09,2938.15,1350.72,2593.57,1570.09,1997.74,5062.47,7392.65,4963.13
2014,2984.74,9942.3,4727.19,4221.44,3049.76,6002.88,3883.09,5246.06,4812.03,4859.39,2234.13,3166.37,1198.58,2620.9,1646.11,1868.45,5037.67,7588.7,4963.33
2015,2987.74,9951.48,4964.48,4107.54,3041.94,5981.61,3883.09,5961.04,4831.43,4770.18,2225.84,3067.91,1169.37,2616.2,1605.01,1848.91,5024.54,7622.44,4383
2016,2996.79,9917.98,4967.62,4159.78,3031.38,5986.61,3778.68,6001.83,5726.78,4787.13,2079.94,2867.43,1119.99,2638.97,1601.65,1863.63,5024.47,7624.63,4441.65
2017,2973.44,9872.19,5061.68,4179.82,3036.49,5925.39,3671.87,6332.86,4104.45,4826.12,2269.38,2994.71,1162.92,2846.62,1481.72,1858.64,5015.81,7748.09,4433.82
2018,3050.04,9818.16,5145.53,4208,3054.5,5923.05,3655.93,6453.27,4315.97,4486.15,2253.46,2749.36,1262.14,2623.72,1488.24,1853.58,4998.21,7917.92,4569.59
2019,3067.55,9731.58,5050.17,4239.34,2957.81,5923.1,3680.68,6475.18,4296.7,4488.37,2236.28,2693.94,1214.51,2612.14,1488.38,1821.01,4766.37,7978.21,4406.01
2020,3064.74,9574.76,5295.13,4243.23,2977.16,5909.21,3267.79,6383,4284.81,4504.93,2248.04,2633.98,1227.26,2551.26,1453.9,1787.09,4749.36,8025.88,4378.27